qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.06494283676147461,0.11655831336975098,0.11407995223999023,0.14532732963562012,0.12598371505737305,0.15227341651916504,0.05555129051208496
0.06299066543579102,0.11011242866516113,0.11259126663208008,0.134415864944458,0.12995100021362305,0.15078449249267578,0.05555248260498047
0.06448006629943848,0.11358428001403809,0.12350296974182129,0.12449526786804199,0.12796783447265625,0.15081524848937988,0.05601787567138672
0.06894397735595703,0.11507296562194824,0.11457562446594238,0.14185571670532227,0.12697577476501465,0.15227222442626953,0.05555152893066406
0.06447958946228027,0.11259055137634277,0.1135857105255127,0.12303781509399414,0.13587284088134766,0.15078282356262207,0.055056095123291016
0.06547379493713379,0.11606287956237793,0.11857056617736816,0.1378934383392334,0.1329026222229004,0.1542820930480957,0.057997941970825195
0.0640110969543457,0.11603713035583496,0.11655831336975098,0.12995147705078125,0.13243484497070312,0.15080904960632324,0.055055856704711914
0.06445097923278809,0.12201547622680664,0.11507129669189453,0.1294841766357422,0.1279432773590088,0.15474820137023926,0.05555129051208496
0.06450724601745605,0.11604142189025879,0.12052345275878906,0.14185428619384766,0.12898778915405273,0.1507563591003418,0.055056095123291016
0.06547141075134277,0.11705589294433594,0.11110472679138184,0.1344151496887207,0.12846589088439941,0.16469645500183105,0.05505824089050293
0.06197357177734375,0.11060714721679688,0.11308789253234863,0.13491082191467285,0.12697672843933105,0.15177440643310547,0.055055856704711914
0.06596779823303223,0.11209583282470703,0.11309003829956055,0.12697505950927734,0.12499165534973145,0.15276789665222168,0.0550844669342041
0.06450891494750977,0.11457014083862305,0.11606693267822266,0.128464937210083,0.1274726390838623,0.1497650146484375,0.06150197982788086
0.06299114227294922,0.11011171340942383,0.11460304260253906,0.13984465599060059,0.1244957447052002,0.15127921104431152,0.056047916412353516
0.06249547004699707,0.11507177352905273,0.11658716201782227,0.1284637451171875,0.13193821907043457,0.16116929054260254,0.05505561828613281
0.06349039077758789,0.11407828330993652,0.11361074447631836,0.12992358207702637,0.13193583488464355,0.15078401565551758,0.055551767349243164
0.06698846817016602,0.11755132675170898,0.11705350875854492,0.1299269199371338,0.127471923828125,0.15130972862243652,0.05455732345581055
0.06197094917297363,0.1150979995727539,0.11901378631591797,0.13193559646606445,0.12749886512756348,0.15025901794433594,0.05455970764160156
0.06401205062866211,0.11306047439575195,0.11606407165527344,0.12601041793823242,0.12397336959838867,0.1503126621246338,0.05505967140197754
0.06544351577758789,0.11556696891784668,0.12102365493774414,0.12548828125,0.1284637451171875,0.15028786659240723,0.06450963020324707
0.0624995231628418,0.11603093147277832,0.11209630966186523,0.13689541816711426,0.12697672843933105,0.15028762817382812,0.055083513259887695
0.06299114227294922,0.12003445625305176,0.12052512168884277,0.12995076179504395,0.13243436813354492,0.1508169174194336,0.055058956146240234
0.06394720077514648,0.11358284950256348,0.11358380317687988,0.13193941116333008,0.13094329833984375,0.1512761116027832,0.055552005767822266
0.06348991394042969,0.11308574676513672,0.11259174346923828,0.1294558048248291,0.12598443031311035,0.15028738975524902,0.055551767349243164
