,Unnamed: 0_x,var1,var2,cluster_x,Unnamed: 0_y,cluster_y
6175,804,49.1694686,-122.6657545,4,18.0,5.0
6178,314,49.1653656,-122.6614878,4,215.0,5.0
6186,5790,49.1645574,-122.6646365,4,144.0,5.0
6196,4519,49.0589538,-122.4922744,4,107.0,2.0
6228,4520,49.0580042,-122.4919543,4,108.0,2.0
6285,5471,49.110595,-122.6768607,4,140.0,5.0
6288,444,49.11765,-122.6689767,4,217.0,5.0
6289,4710,49.1661003,-122.664152,4,116.0,5.0
6424,1468,49.253994,-123.23535459999998,5,36.0,1.0
6485,7135,49.3273747,-123.1542843,5,242.0,1.0
6539,5912,49.2637686,-123.1632614,5,147.0,1.0
6585,3353,49.2681152,-123.1595834,5,79.0,1.0
6608,2207,49.2376572,-123.1556393,5,57.0,7.0
6643,2234,49.2637428,-123.2104101,5,58.0,1.0
6717,5514,49.2610518,-123.2482235,5,142.0,1.0
6857,3905,49.26428,-123.1722925,5,98.0,1.0
6862,3739,49.254194,-123.2360217,5,93.0,1.0
6949,621,49.2257668,-122.9968006,6,15.0,3.0
7017,5205,49.306933,-123.0345561,6,134.0,3.0
7084,93,49.2779185,-122.912361,6,3.0,3.0
7086,5152,49.27785770000001,-122.9119847,6,129.0,3.0
7116,4692,49.2800699,-122.9697686,6,115.0,3.0
7158,3541,49.278102,-122.9099445,6,86.0,3.0
7159,3542,49.2781344,-122.9101527,6,87.0,3.0
7185,7927,49.2678061,-123.0062431,6,244.0,3.0
7187,7926,49.2677289,-123.0062452,6,243.0,3.0
7261,8013,49.2596044,-123.0019382,6,206.0,3.0
7323,4853,49.1905117,-122.9504389,6,120.0,3.0
7360,3398,49.26641160000001,-123.0140254,6,82.0,3.0
7377,1648,49.2268102,-123.0040761,6,42.0,3.0
7385,1654,49.226408,-123.0036228,6,43.0,3.0
7409,6932,49.20590410000001,-123.0111841,6,182.0,3.0
7431,6922,49.26690120000001,-123.0057206,6,181.0,3.0
7441,7020,49.2584314,-123.0306853,6,185.0,3.0
7444,2381,49.2188492,-122.9645805,6,65.0,3.0
7465,1977,49.2290001,-123.00046100000002,6,55.0,3.0
7481,1970,49.222971,-122.9841291,6,54.0,3.0
7542,1490,49.2230985,-122.9821688,6,37.0,3.0
7598,1375,49.2334631,-123.034937,6,34.0,3.0
7605,2242,49.2544973,-123.02209750000002,6,59.0,3.0
7658,1760,49.2317641,-123.0091627,6,46.0,3.0
7669,1756,49.2300329,-123.003695,6,45.0,3.0
7748,7286,49.2276704,-123.0033251,6,188.0,3.0
7771,1902,49.1980237,-122.97853390000002,6,50.0,3.0
7869,1065,49.23053710000001,-123.007442,6,23.0,3.0
7896,6281,49.1057505,-122.8021287,7,161.0,0.0
7932,4183,49.119330100000006,-122.8235877,7,231.0,0.0
7946,2556,49.10485,-122.8028182,7,67.0,0.0
7971,2356,49.044654,-122.7772023,7,63.0,0.0
7974,2359,49.0451866,-122.7781347,7,64.0,0.0
8025,3038,49.0326388,-122.801449,7,73.0,0.0
8037,2666,49.1037213,-122.7281926,7,70.0,5.0
8115,4849,49.0459218,-122.7821538,7,119.0,0.0
8116,459,49.10555479999999,-122.7402471,7,9.0,0.0
8119,2333,49.0375485,-122.80093290000002,7,60.0,0.0
8127,2339,49.04636970000001,-122.8016813,7,227.0,0.0
8130,2342,49.0452315,-122.7786492,7,61.0,0.0
8135,2347,49.0478089,-122.7849282,7,62.0,0.0
