id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2033952,Beautiful Kitsilano - Covid-19 Safe,557301,Tyler,,Kitsilano,49.26715,-123.15325,Entire home/apt,99,2,6,2020-09-09,0.33,1,0
2041582,"Kitsilano Point, VERY CLEAN, welcoming and bright",1728615,Francois,,Kitsilano,49.2753,-123.14721,Entire home/apt,125,30,240,2020-03-01,3.20,1,191
2042431,Yaletown 1BD Condo @ Homer & Robson,9582918,Sandy,,Downtown,49.28005,-123.11659,Entire home/apt,135,30,128,2021-01-03,1.48,1,333
2046259,2 bdrm in COMPLETLY RENOVATED HOME BY CANADA LINE,5233549,Joyce,,Riley Park,49.23573,-123.10819,Entire home/apt,219,1,7,2018-07-24,0.11,4,0
2056676,Cozy Modern apartment in Yaletown,7338933,Sadiq,,Downtown,49.27393,-123.11599,Entire home/apt,110,30,90,2015-10-13,1.24,3,339
2084273,Gorgeous New House Double Ensuite,7940236,Renee,,Renfrew-Collingwood,49.24976,-123.03547,Private room,75,31,41,2017-08-22,0.50,5,334
2092610,A spacious modern apartment,1172047,Trevor,,Mount Pleasant,49.2655,-123.0969,Entire home/apt,130,30,33,2021-03-06,0.37,2,214
2106364,Gorgeous New House Single Ensuite,7940236,Renee,,Renfrew-Collingwood,49.24958,-123.0359,Private room,65,31,22,2014-08-18,0.24,5,283
2108899,good sized bedroom on second floor,10571680,Paolo,,Kitsilano,49.26933,-123.16177,Private room,58,31,8,2019-06-22,0.12,1,312
2168943,South Granville 2 bedroom townhome,11065739,Catherine,,Fairview,49.25972,-123.14269,Entire home/apt,175,7,14,2015-06-29,0.22,1,0
2183209,Kitsilano PENTHOUSE,11132986,Daniel,,Kitsilano,49.26597,-123.15633,Entire home/apt,151,30,126,2020-12-26,3.38,1,303
2188113,5 star Luxury ShangriLa hotel condo,477297,Hanna & Michael,,West End,49.28514,-123.12275,Entire home/apt,500,30,36,2018-10-07,0.84,1,365
2198419,Gorgeous home in Yaletown,11214436,Kate,,Downtown,49.2773,-123.12294,Entire home/apt,115,180,142,2016-08-27,1.79,1,359
2209556,Central 1 bedrm Condo Downtown Van (min 30 days),5986485,Tania,,Downtown,49.2804,-123.10726,Entire home/apt,107,30,24,2015-09-21,0.33,1,59
2216062,Bright Kitsilano Garden Apartment,11304608,Julie,,West Point Grey,49.26992,-123.18596,Entire home/apt,175,28,51,2021-03-29,0.84,1,68
2237295,Bed in Yaletown tops all neighborhoods,11423475,Gule,,Downtown,49.27942,-123.12219,Shared room,42,31,62,2018-08-20,1.54,4,365
2282114,The Perfect Place For Your Next Family Vacation,19916,Cathy + Tom,,Dunbar Southlands,49.23792,-123.18224,Entire home/apt,525,10,18,2020-02-02,0.27,2,195
2299515,Yaletown Fully Furnished 17th Floor Condo,5268156,Allan,,Downtown,49.27955,-123.12392,Entire home/apt,74,30,95,2018-11-22,1.13,2,308
2326272,Cozy garden sweet,11883405,Miss,,Dunbar Southlands,49.24285,-123.18636,Entire home/apt,204,30,1,2015-11-18,0.01,2,327
2361393,Cozy Vancouver Suite near a park and transit,366483,Michelle,,Kensington-Cedar Cottage,49.239,-123.08606,Entire home/apt,90,30,124,2018-08-26,1.58,1,280
2365994,Gem Modern Apartment in Yaletown,12014048,Hayfa,,West End,49.28298,-123.12339,Entire home/apt,110,30,96,2019-07-31,1.36,1,8
2446828,Big Orange House,9080044,Geoff,,Mount Pleasant,49.25701,-123.09179,Entire home/apt,182,2,254,2021-01-26,3.55,1,309
2454353,Vancouver Quality Coach House,10997524,Mark & Fran,,Kensington-Cedar Cottage,49.23748,-123.08735,Entire home/apt,125,30,180,2018-09-18,2.09,1,309
2468591,Monthly- Marinaside Ocean View Apartment -Yaletown,8999638,Sweet Home,,Downtown,49.27449,-123.11679,Entire home/apt,141,30,9,2017-06-09,0.12,1,247
