id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
254657,Heritage Loft in heart of Gastown,241920,Scott,,Downtown Eastside,49.28375,-123.10383,Entire home/apt,250,3,68,2019-09-15,1.09,1,51
256178,Luxury Coach House in Kitsilano,1267409,Cormac,,Kitsilano,49.26293,-123.17143,Entire home/apt,316,2,12,2020-12-27,0.11,2,205
258636,FABULOUS Luxury Downtown Vancouver!,948852,Ian,,Downtown,49.27839,-123.12852,Entire home/apt,99,120,53,2018-08-10,0.76,1,97
283841,D27 - 3 Bedroom in Coal Harbour,30899,Rami,,Downtown,49.28906,-123.12505,Entire home/apt,197,90,2,2012-04-01,0.02,41,0
303950,"West Coast Stunner!  Mountain view, central",196890,Siobhan,,Mount Pleasant,49.26229,-123.08415,Entire home/apt,276,4,27,2019-05-24,1.00,1,311
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,,Renfrew-Collingwood,49.23273,-123.02747,Private room,70,2,72,2020-03-06,1.24,2,130
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,,Grandview-Woodland,49.26328,-123.07086,Entire home/apt,100,30,6,2018-03-30,0.14,5,89
322824,Modern Yaletown 1BR |➼ GREAT VIEW ➼CENTRAL,1652613,Blake,,Downtown,49.27608,-123.12452,Entire home/apt,154,30,143,2019-07-26,1.68,1,70
323090,Beautiful fully furnished suite,1555022,Katya And Nick,,Downtown,49.28244,-123.12293,Entire home/apt,168,30,71,2017-09-04,0.99,1,31
359942,Stylish Modern Central Downtown★★★★★★★,1200456,Nala,,Downtown,49.27634,-123.11825,Private room,233,30,44,2019-12-14,0.39,7,365
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,,Grandview-Woodland,49.27799,-123.07101,Private room,48,30,57,2019-08-17,0.97,1,311
415700,"LARGE PRIVATE ROOM+ BATH, SEPARATE ENTRY, KING BED",83871,Adam,,Renfrew-Collingwood,49.2332,-123.0551,Private room,75,1,210,2021-01-31,2.95,3,304
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,,Downtown Eastside,49.28211,-123.10453,Entire home/apt,212,3,76,2019-09-23,1.59,1,245
444187,UNIQUE 4 Bedroom Character House near Downtown!,276869,Chloe,,Mount Pleasant,49.26743,-123.11178,Entire home/apt,395,7,7,2018-09-03,0.17,1,11
